heart_rate,oxygen_level,steps,sleep_hours,activity_level,stress_level
84,98.38,4643,4.7,Active,2
102,98.19,1134,8.0,Sedentary,7
77,97.14,821,8.2,Sedentary,3
67,95.14,17,6.6,Sedentary,1
61,98.67,8872,5.5,Highly Active,7
89,100.0,2561,7.1,Active,5
64,96.05,14301,3.7,Highly Active,7
76,92.64,7032,8.3,Active,3
61,100.0,6030,6.4,Sedentary,1
72,94.78,4671,4.9,Highly Active,4
81,100.0,2090,8.7,Highly Active,4
79,100.0,468,6.6,Sedentary,9
86,98.17,4103,5.9,Active,1
54,96.72,731,9.6,Active,3
73,100.0,16531,5.7,Active,9
67,98.33,12376,7.6,Sedentary,8
60,100.0,6769,7.5,Highly Active,2
63,99.08,4216,5.2,Sedentary,9
61,100.0,4238,6.3,Sedentary,1
80,99.61,4372,6.1,Sedentary,4
81,100.0,9578,3.8,Active,2
88,98.73,944,3.6,Sedentary,4
79,97.89,5304,3.2,Active,10
77,97.16,11724,5.8,Sedentary,10
76,96.18,4995,5.0,Sedentary,7
85,97.77,97,5.1,Active,2
43,96.0,1964,5.9,Highly Active,9
74,97.18,7731,6.5,Sedentary,4
79,98.47,19048,6.0,Highly Active,1
101,99.06,15694,5.4,Active,4
58,100.0,12110,9.4,Highly Active,7
57,98.51,20993,6.2,Highly Active,3
54,97.58,87,4.6,Sedentary,10
72,98.02,3063,8.5,Active,10
64,98.15,6023,5.7,Sedentary,3
63,100.0,2663,10.7,Active,9
75,98.85,316,4.5,Sedentary,6
83,95.62,4953,4.9,Highly Active,6
75,98.47,1559,6.2,Active,8
75,96.31,9103,6.0,Highly Active,4
81,96.7,654,4.7,Active,9
47,98.1,22212,8.7,Active,3
76,98.89,14651,8.6,Active,7
73,98.77,14492,6.0,Active,8
74,96.66,10921,8.0,Highly Active,1
66,94.93,7028,8.6,Active,7
71,97.74,384,6.5,Highly Active,2
81,97.87,7602,5.5,Sedentary,3
99,97.82,9619,8.4,Sedentary,2
49,98.43,981,8.2,Active,8
83,97.15,6695,4.6,Active,5
93,99.83,4562,8.6,Active,5
55,99.34,4476,5.0,Sedentary,10
72,99.65,1557,7.1,Active,3
79,100.0,9414,5.3,Sedentary,10
105,98.95,18144,6.7,Highly Active,4
107,98.11,10852,6.7,Highly Active,9
55,97.8,3224,9.8,Highly Active,6
77,98.15,3170,5.3,Sedentary,4
83,94.34,1870,5.8,Active,10
78,96.81,24113,7.0,Sedentary,5
60,100.0,10918,6.0,Active,10
60,94.28,10026,3.2,Sedentary,9
51,98.69,564,7.6,Sedentary,2
44,99.1,1493,8.5,Sedentary,7
51,97.83,131,7.1,Highly Active,6
85,95.88,2282,6.8,Active,5
71,97.38,1405,8.1,Highly Active,6
74,100.0,7174,7.2,Active,7
70,98.96,3972,5.7,Sedentary,1
51,97.21,19859,6.6,Active,1
84,98.6,3189,8.0,Active,6
87,96.65,12565,8.2,Active,1
80,99.09,9676,7.3,Active,4
96,99.79,8224,6.0,Highly Active,4
59,100.0,4385,6.8,Active,3
73,99.44,1816,6.3,Sedentary,6
59,100.0,4583,9.1,Active,1
61,100.0,13550,5.1,Highly Active,1
68,98.07,1177,7.3,Sedentary,2
96,97.59,1301,3.5,Sedentary,2
91,97.18,5345,7.1,Sedentary,6
73,96.58,6871,7.8,Highly Active,9
80,97.27,2168,5.6,Sedentary,5
80,95.32,487,5.4,Active,7
60,99.6,358,8.0,Active,6
87,100.0,986,3.6,Active,5
78,100.0,2448,4.9,Sedentary,9
53,95.71,29827,6.4,Sedentary,1
69,96.93,18367,4.4,Highly Active,7
77,96.39,307,7.6,Highly Active,9
79,96.71,5609,5.3,Highly Active,6
90,93.85,7026,6.4,Sedentary,5
92,97.16,389,8.1,Sedentary,7
71,97.24,9117,7.1,Sedentary,1
83,100.0,30885,9.4,Active,4
99,98.28,3927,8.6,Sedentary,1
59,96.92,4177,4.9,Highly Active,1
50,95.3,9337,6.7,Sedentary,5
65,98.15,10917,8.3,Sedentary,2
78,96.67,565,7.3,Sedentary,5
43,98.25,11290,5.8,Active,7
81,98.92,13970,7.2,Highly Active,1
67,96.9,324,5.9,Active,1
74,98.54,279,5.5,Highly Active,10
57,96.62,5603,6.3,Active,9
73,95.89,4807,6.9,Active,5
100,99.83,27418,8.5,Sedentary,2
69,100.0,2441,5.8,Sedentary,8
41,98.41,6245,3.6,Highly Active,5
93,99.56,4946,6.2,Active,5
83,100.0,5399,6.1,Highly Active,1
76,99.21,49,7.9,Sedentary,8
99,97.74,12992,7.0,Highly Active,7
86,95.33,1572,7.4,Active,3
68,99.09,1840,3.7,Active,6
97,99.11,7308,6.2,Active,10
102,100.0,4547,6.3,Highly Active,1
88,97.35,5981,9.0,Highly Active,7
81,96.86,4817,6.3,Active,5
62,96.48,3787,5.5,Sedentary,3
85,96.15,4622,5.4,Highly Active,10
80,98.98,1065,8.0,Highly Active,7
74,97.93,24386,5.6,Sedentary,2
85,98.93,5986,5.2,Highly Active,5
83,97.17,8734,7.1,Sedentary,6
90,96.25,14848,6.1,Highly Active,5
55,100.0,2461,4.5,Highly Active,8
59,98.45,2746,7.3,Sedentary,4
61,100.0,4041,7.7,Active,2
104,98.95,1715,5.1,Highly Active,5
84,97.27,11617,7.0,Highly Active,7
85,97.17,6142,6.3,Sedentary,2
91,96.4,411,5.2,Sedentary,4
59,100.0,40005,5.8,Active,9
44,100.0,5989,6.4,Sedentary,7
74,97.39,15447,4.5,Active,5
88,99.32,4875,7.4,Sedentary,7
72,97.3,6113,5.4,Sedentary,8
54,95.03,4242,5.5,Active,2
61,96.86,3846,7.3,Sedentary,10
57,99.46,1724,5.8,Sedentary,4
65,100.0,22914,6.2,Active,1
77,96.63,5232,5.3,Sedentary,2
66,95.75,638,5.7,Sedentary,10
84,97.37,35120,6.5,Sedentary,3
60,97.51,5678,6.5,Active,10
78,97.5,11796,7.3,Highly Active,2
74,95.66,5794,7.4,Sedentary,4
80,98.71,11443,8.3,Highly Active,6
83,98.2,5351,4.2,Highly Active,6
87,98.01,4260,6.0,Sedentary,9
83,99.07,16,7.5,Highly Active,1
79,99.11,3242,7.0,Highly Active,9
64,100.0,21248,5.6,Active,7
87,100.0,7880,8.8,Highly Active,1
70,97.68,1564,7.1,Highly Active,2
62,96.71,4729,9.8,Sedentary,2
61,99.72,246,5.0,Highly Active,4
70,95.63,7912,6.5,Active,4
71,98.17,10728,7.3,Active,9
62,96.13,9643,4.9,Highly Active,2
75,99.95,635,5.5,Sedentary,10
77,99.62,1991,8.0,Active,5
66,98.06,7466,5.8,Sedentary,7
109,100.0,9960,7.8,Active,1
79,96.52,2243,5.6,Sedentary,5
76,98.89,3649,9.5,Active,6
64,99.11,3029,3.0,Sedentary,5
78,97.44,6015,6.9,Highly Active,10
96,100.0,2265,6.2,Sedentary,2
49,98.09,8148,3.6,Sedentary,2
69,99.31,1946,7.0,Active,8
85,94.79,8800,5.6,Active,1
61,97.71,4277,3.6,Highly Active,4
51,100.0,14387,6.7,Sedentary,4
90,96.89,1429,9.7,Active,1
61,100.0,12082,7.7,Highly Active,2
69,96.78,10525,2.9,Highly Active,2
81,96.55,616,5.7,Sedentary,6
66,99.41,345,8.2,Active,7
68,100.0,1026,4.1,Active,8
65,99.84,13065,5.3,Highly Active,4
71,97.62,6466,8.9,Sedentary,9
90,97.0,9524,6.8,Highly Active,1
98,100.0,12402,6.5,Sedentary,1
93,100.0,5078,5.1,Sedentary,7
77,97.28,3762,4.8,Active,4
99,100.0,1527,6.7,Active,10
109,100.0,6547,6.4,Active,2
77,97.7,5588,4.7,Sedentary,3
60,98.33,2409,6.9,Active,3
94,95.63,4137,6.6,Highly Active,4
56,97.98,9420,6.0,Highly Active,8
61,96.82,6905,8.3,Highly Active,8
43,97.59,4601,6.5,Active,1
85,95.37,2225,6.1,Highly Active,10
40,100.0,7718,8.2,Sedentary,6
89,100.0,6916,6.3,Sedentary,8
102,100.0,4290,5.9,Sedentary,8
100,98.08,1907,4.7,Highly Active,6
56,97.38,1346,6.6,Highly Active,8
65,98.74,16756,5.9,Sedentary,7
88,100.0,9814,4.5,Active,4
84,98.23,12943,8.1,Highly Active,2
82,99.6,4299,7.4,Sedentary,5
67,100.0,1301,7.1,Sedentary,1
63,99.52,8933,4.2,Highly Active,10
57,98.93,3837,5.6,Sedentary,6
81,99.28,1231,7.5,Sedentary,10
87,100.0,8338,7.9,Active,8
68,97.29,4607,8.8,Active,10
84,100.0,63,4.6,Sedentary,1
69,98.88,12181,7.2,Highly Active,10
72,96.48,6763,6.1,Active,10
73,100.0,274,5.8,Highly Active,1
49,98.76,2544,10.2,Active,1
72,98.8,8971,4.1,Highly Active,9
60,98.97,9329,6.1,Sedentary,7
103,99.78,4921,6.6,Active,2
75,97.21,10690,3.5,Active,3
65,97.94,13529,5.0,Highly Active,5
65,100.0,10220,6.6,Active,7
95,96.14,569,4.4,Sedentary,1
62,100.0,4318,7.9,Highly Active,10
79,98.1,2687,7.4,Highly Active,6
83,99.18,23629,6.2,Active,3
66,97.22,930,7.1,Highly Active,3
87,97.22,14048,4.4,Highly Active,2
77,96.73,32860,4.1,Highly Active,2
49,95.8,32252,5.1,Highly Active,4
93,98.34,11151,10.5,Active,9
65,98.5,4386,8.1,Sedentary,9
72,99.36,1372,5.6,Active,3
79,97.56,6559,4.5,Sedentary,6
67,99.31,6598,5.3,Sedentary,4
86,100.0,2663,8.8,Active,10
58,100.0,6715,9.6,Sedentary,1
66,96.37,867,5.3,Active,6
75,98.91,15892,6.1,Sedentary,3
59,98.76,4471,8.4,Sedentary,1
76,97.46,10124,4.9,Sedentary,4
81,100.0,7067,8.0,Sedentary,3
51,98.77,21,4.5,Active,6
99,95.71,911,7.9,Highly Active,5
101,94.76,10436,5.2,Active,7
71,99.2,21904,5.5,Sedentary,7
75,96.89,15715,9.4,Highly Active,1
88,97.51,3150,8.0,Highly Active,3
81,100.0,2601,5.9,Sedentary,4
91,97.17,653,1.4,Active,1
60,100.0,1698,7.2,Active,4
88,98.87,7083,5.1,Active,10
92,98.46,11293,9.9,Active,9
83,95.35,8473,6.5,Sedentary,7
70,99.52,14307,6.0,Sedentary,8
56,95.15,877,6.6,Sedentary,8
54,98.42,13306,5.3,Highly Active,9
100,99.01,3241,6.9,Highly Active,4
93,98.8,9582,6.7,Active,2
75,100.0,3585,6.9,Sedentary,4
89,97.1,8577,5.6,Active,7
64,97.28,5644,5.1,Highly Active,2
77,99.98,3340,7.7,Highly Active,8
72,96.7,41415,6.6,Highly Active,8
84,97.57,6265,6.8,Active,3
77,99.92,8024,7.0,Active,6
79,96.67,983,6.4,Active,1
59,100.0,33771,6.7,Sedentary,5
55,97.19,369,8.4,Sedentary,10
76,98.01,514,7.7,Highly Active,1
77,100.0,551,6.2,Sedentary,1
59,99.96,14314,5.8,Sedentary,8
84,96.47,25297,7.0,Active,4
77,100.0,482,6.0,Active,8
75,97.81,8236,4.6,Active,3
55,99.11,5334,9.0,Sedentary,6
55,99.64,7135,4.8,Highly Active,7
80,96.79,5035,6.9,Highly Active,2
63,99.42,16631,6.0,Active,1
79,95.39,6198,6.4,Highly Active,7
105,96.23,15872,7.8,Sedentary,1
105,98.97,14013,4.0,Highly Active,10
73,98.88,7536,6.0,Active,5
83,97.18,5117,6.6,Highly Active,8
89,100.0,505,6.6,Highly Active,7
90,96.34,12609,8.6,Sedentary,5
80,94.13,1940,5.1,Sedentary,3
71,94.7,261,6.3,Active,3
87,98.36,5124,8.8,Sedentary,2
81,98.01,7008,6.1,Highly Active,6
68,99.53,7589,9.5,Sedentary,9
96,99.33,7755,6.1,Sedentary,10
81,97.95,7424,5.5,Sedentary,8
104,97.08,11730,5.9,Sedentary,2
67,100.0,4317,7.1,Sedentary,6
86,97.81,454,6.3,Sedentary,10
80,100.0,7143,8.4,Highly Active,8
85,98.42,1652,7.3,Active,5
103,97.85,13739,6.5,Active,1
89,97.07,8953,6.0,Highly Active,2
87,99.04,10163,7.7,Active,1
72,95.97,2362,6.5,Highly Active,8
65,97.94,7018,5.8,Highly Active,1
111,98.22,5257,5.4,Highly Active,1
74,98.4,2188,7.5,Highly Active,6
79,97.23,5589,6.1,Highly Active,6
77,98.63,1482,7.3,Highly Active,3
98,98.45,2549,8.1,Highly Active,8
83,100.0,1803,7.4,Highly Active,1
55,97.6,2622,7.8,Sedentary,4
65,95.65,1459,7.6,Highly Active,9
90,95.91,8289,7.1,Sedentary,7
52,100.0,22411,9.2,Sedentary,3
88,98.8,15,2.7,Active,4
62,97.13,4336,5.0,Active,2
89,93.2,2168,8.4,Active,6
74,99.39,1140,8.0,Active,5
75,98.27,5796,7.5,Active,2
75,98.16,3684,7.3,Highly Active,5
84,96.57,3889,5.4,Sedentary,8
58,97.8,15775,6.7,Active,2
70,95.82,2049,6.4,Highly Active,9
75,96.61,3918,8.5,Highly Active,4
62,99.33,13857,8.0,Highly Active,3
77,100.0,3315,7.9,Highly Active,1
78,96.07,1641,6.8,Active,2
69,97.62,17216,8.2,Active,9
56,97.25,1092,4.7,Sedentary,7
81,97.57,2471,6.6,Sedentary,1
94,99.14,3677,7.1,Sedentary,2
60,100.0,2370,7.9,Active,6
83,97.07,10225,8.7,Sedentary,10
52,98.57,7637,4.9,Highly Active,6
53,97.67,37844,7.0,Active,8
82,97.65,2618,5.4,Highly Active,5
69,96.78,13063,8.1,Highly Active,5
89,98.5,64,5.0,Highly Active,9
80,96.68,1145,6.5,Active,10
59,100.0,414,5.7,Sedentary,3
49,97.7,12487,4.8,Active,9
62,96.31,8813,6.0,Active,1
74,96.27,246,7.4,Active,9
76,97.05,787,6.9,Active,6
50,97.18,550,5.8,Highly Active,2
53,99.74,7954,6.3,Sedentary,1
63,94.26,5763,6.1,Sedentary,8
68,96.56,3494,6.5,Sedentary,7
86,99.04,8024,7.4,Active,5
91,96.67,686,6.5,Highly Active,4
83,97.72,13594,9.6,Highly Active,4
70,97.43,6559,6.4,Sedentary,8
72,100.0,1468,7.2,Sedentary,8
74,96.4,673,7.2,Highly Active,7
43,92.28,3069,6.1,Active,1
54,98.62,903,6.4,Sedentary,1
61,100.0,4520,7.5,Sedentary,3
71,98.86,3647,5.5,Sedentary,3
63,100.0,3904,2.8,Active,1
62,98.62,20104,6.0,Active,5
72,100.0,3005,9.0,Highly Active,8
67,99.68,33481,7.7,Highly Active,2
77,96.83,5411,4.1,Active,7
68,97.1,12937,7.5,Active,3
51,97.52,3003,6.8,Highly Active,10
59,100.0,620,5.9,Sedentary,2
70,96.87,617,4.9,Active,6
68,98.84,5976,5.3,Sedentary,10
53,98.21,18606,5.7,Highly Active,5
85,98.46,517,9.3,Sedentary,10
79,98.12,8178,7.5,Highly Active,8
65,97.27,5799,5.4,Active,7
72,95.75,7394,5.7,Highly Active,7
87,99.49,512,5.9,Sedentary,6
106,98.94,544,6.5,Sedentary,6
65,98.42,1983,6.3,Active,5
93,100.0,1682,6.6,Sedentary,5
62,100.0,946,3.5,Highly Active,2
67,96.12,2152,7.7,Highly Active,6
96,100.0,5345,5.7,Highly Active,9
73,95.6,20902,7.9,Highly Active,2
85,97.13,17881,9.8,Active,1
70,98.33,2219,4.3,Sedentary,3
110,95.48,38037,5.9,Sedentary,7
71,98.16,4529,7.1,Active,9
64,95.08,5400,6.0,Sedentary,10
86,98.88,15223,5.3,Highly Active,10
85,97.75,4150,8.9,Sedentary,10
51,99.14,6810,9.3,Sedentary,3
77,97.06,5371,6.1,Sedentary,5
88,97.25,1738,4.8,Active,3
93,100.0,10101,5.2,Highly Active,6
84,96.44,395,6.6,Active,6
86,97.64,3150,4.4,Active,8
66,96.98,14276,7.3,Sedentary,7
56,98.27,4890,6.2,Sedentary,2
70,98.6,566,7.0,Active,1
56,100.0,1628,7.1,Highly Active,6
63,96.9,813,8.6,Sedentary,10
60,98.49,1265,6.9,Sedentary,9
82,94.41,8712,6.9,Sedentary,2
59,100.0,7540,3.5,Highly Active,6
102,91.51,1016,6.8,Active,1
89,99.44,4121,7.4,Active,10
92,100.0,2455,6.3,Highly Active,8
78,99.4,6006,4.3,Sedentary,9
59,98.21,16027,5.4,Highly Active,10
78,96.33,15933,5.5,Highly Active,5
48,99.58,3729,6.5,Active,7
90,95.19,3497,5.5,Active,7
65,95.64,5108,4.6,Highly Active,9
79,97.09,4499,6.0,Sedentary,4
82,99.04,446,8.0,Sedentary,10
66,95.53,6052,7.6,Active,9
63,99.35,6152,5.5,Sedentary,8
73,98.88,4189,5.9,Sedentary,8
87,98.16,3741,5.3,Highly Active,1
72,94.66,19572,4.6,Active,8
84,99.84,6428,7.1,Active,9
86,97.51,11860,4.6,Highly Active,1
72,97.86,21530,7.5,Sedentary,3
73,97.02,11629,9.2,Active,1
77,94.88,20050,7.1,Active,10
69,99.9,1305,7.4,Sedentary,8
92,100.0,1802,5.8,Highly Active,5
78,99.11,1509,7.1,Active,7
63,99.51,2722,7.0,Active,7
74,100.0,3069,5.6,Sedentary,2
58,100.0,11669,2.7,Active,1
54,99.18,3133,4.9,Highly Active,7
84,96.8,9094,5.1,Highly Active,8
86,94.04,16391,7.3,Highly Active,8
74,98.13,852,4.3,Highly Active,5
66,100.0,15366,8.9,Active,4
77,99.33,1905,8.1,Highly Active,7
104,98.41,1166,5.7,Highly Active,10
90,96.22,2449,3.4,Highly Active,4
73,98.18,1441,7.7,Active,1
72,100.0,11047,5.4,Active,7
69,97.59,7046,7.7,Highly Active,3
53,95.43,1282,7.4,Sedentary,3
67,96.29,6132,5.8,Sedentary,6
85,95.29,1633,4.7,Highly Active,8
70,95.72,6335,4.1,Highly Active,5
58,99.1,7649,6.9,Highly Active,2
86,99.37,2975,7.2,Sedentary,4
55,100.0,10090,5.5,Active,9
83,97.9,12707,4.2,Active,1
90,97.86,17367,8.9,Active,5
70,98.69,6886,5.7,Active,2
64,96.87,1739,6.2,Active,4
82,95.75,9661,8.1,Active,4
99,96.2,799,5.6,Sedentary,5
95,99.22,1400,5.4,Highly Active,6
61,100.0,16920,5.4,Active,8
71,95.95,483,8.3,Highly Active,2
66,94.19,6944,6.7,Active,3
81,98.31,19538,5.7,Active,9
69,99.08,5920,6.2,Active,9
65,96.74,12042,9.2,Active,10
74,94.95,17925,7.8,Sedentary,10
70,100.0,5124,4.5,Highly Active,1
55,95.55,7602,7.1,Sedentary,3
82,97.28,7790,7.5,Active,4
74,100.0,5095,7.7,Active,2
81,99.9,6832,6.4,Highly Active,1
54,97.34,5658,5.2,Sedentary,2
88,96.09,7108,5.3,Highly Active,2
83,100.0,4925,3.0,Sedentary,8
100,95.14,1762,9.0,Highly Active,9
62,99.0,8280,2.6,Highly Active,3
66,98.96,3392,6.1,Highly Active,3
48,100.0,957,3.8,Sedentary,8
62,99.12,13342,5.6,Active,9
96,99.25,1401,7.4,Sedentary,8
76,100.0,7303,7.8,Highly Active,5
74,98.03,1228,5.9,Sedentary,2
49,97.2,1128,3.1,Active,7
91,95.94,527,3.9,Sedentary,8
52,97.51,5198,6.1,Active,5
73,95.9,1329,6.7,Sedentary,6
64,95.02,24749,7.9,Active,4
81,96.8,6130,4.5,Active,9
58,97.44,8007,5.5,Sedentary,5
76,96.85,4008,8.0,Sedentary,10
74,93.37,4443,7.7,Sedentary,10
67,96.16,8959,5.7,Highly Active,6
75,100.0,6210,6.3,Sedentary,1
62,96.02,21000,7.0,Active,2
57,98.45,7606,6.6,Highly Active,6
56,99.9,3561,4.4,Active,7
59,95.65,340,4.3,Highly Active,8
81,97.18,3468,6.1,Highly Active,4
81,96.76,18114,7.6,Highly Active,8
85,100.0,11579,3.8,Highly Active,2
75,97.29,3178,6.6,Active,7
79,98.54,1440,5.3,Active,5
87,95.38,11837,3.4,Active,4
83,100.0,5722,5.7,Active,6
76,99.0,5566,4.6,Sedentary,10
65,99.68,2435,6.1,Sedentary,1
79,97.04,7870,7.1,Sedentary,9
95,100.0,13855,7.2,Highly Active,3
77,98.28,9710,3.5,Sedentary,9
69,99.93,6635,7.4,Sedentary,10
87,96.16,3021,7.1,Active,1
54,98.36,13508,5.9,Active,1
69,93.94,5845,4.6,Active,4
60,99.25,15425,5.9,Highly Active,9
73,99.11,2053,8.9,Highly Active,2
84,95.73,19154,8.0,Active,7
46,96.36,3280,5.0,Active,7
52,92.37,3488,4.6,Sedentary,1
90,100.0,4030,5.5,Highly Active,4
76,100.0,2115,5.8,Active,2
76,98.02,8566,5.5,Sedentary,4
78,93.29,2481,6.9,Highly Active,3
40,94.84,6306,5.6,Sedentary,4
66,95.27,185,5.6,Active,4
87,96.0,648,6.8,Sedentary,1
78,93.06,19067,5.9,Active,1
64,100.0,14670,8.1,Sedentary,7
58,96.56,4046,9.2,Highly Active,3
88,99.07,8820,7.2,Active,3
78,100.0,3966,6.2,Highly Active,6
78,96.98,13131,6.9,Sedentary,6
81,98.5,578,4.0,Active,10
72,95.34,5183,5.0,Active,1
73,100.0,848,7.0,Sedentary,5
40,96.41,557,4.9,Highly Active,8
83,97.46,4224,6.4,Active,5
60,98.84,4081,6.0,Active,5
69,99.4,606,5.4,Sedentary,8
71,97.22,1556,4.9,Active,7
67,96.75,2228,5.7,Sedentary,9
59,100.0,16252,8.4,Highly Active,8
92,98.23,12197,7.1,Active,4
62,99.48,111,4.9,Sedentary,4
83,100.0,1116,6.4,Active,8
85,98.18,7868,6.0,Sedentary,1
66,98.06,17605,6.4,Active,2
72,97.81,10809,6.8,Active,2
71,99.05,1143,6.4,Sedentary,10
81,95.87,18811,5.6,Active,10
71,95.67,3625,8.1,Active,2
91,99.78,3762,7.4,Active,5
74,100.0,8077,5.1,Highly Active,5
73,100.0,3546,0.6,Active,3
80,97.19,14567,7.3,Highly Active,1
99,94.55,22372,5.8,Highly Active,4
65,94.22,2830,6.6,Sedentary,4
63,99.27,1051,4.4,Active,10
69,99.37,207,9.8,Sedentary,7
64,100.0,334,8.3,Active,3
85,95.82,4984,7.5,Active,2
67,96.25,8612,3.6,Highly Active,10
82,98.97,28629,4.4,Sedentary,2
67,99.54,1185,7.6,Sedentary,6
74,95.58,8387,7.1,Sedentary,9
96,99.66,5652,6.1,Highly Active,1
63,97.11,4552,4.5,Highly Active,4
71,95.41,1909,9.2,Active,4
74,94.14,2611,7.2,Highly Active,2
84,99.15,3399,5.4,Highly Active,3
75,100.0,1410,8.8,Highly Active,1
78,98.08,4559,6.8,Highly Active,3
57,100.0,990,8.9,Sedentary,4
79,95.25,2681,6.0,Sedentary,8
79,96.23,841,9.6,Sedentary,2
85,98.98,256,5.8,Sedentary,6
70,99.08,3072,5.5,Active,7
85,99.17,1153,6.4,Sedentary,9
59,96.93,35206,7.1,Sedentary,4
48,98.24,2245,5.0,Active,9
58,98.7,161,5.0,Sedentary,9
65,100.0,199,5.9,Highly Active,7
91,96.24,7688,7.0,Highly Active,10
61,99.7,16310,8.1,Sedentary,4
73,100.0,667,6.3,Highly Active,5
67,100.0,3305,9.1,Sedentary,9
65,100.0,15449,6.9,Highly Active,6
72,95.82,7994,6.4,Highly Active,7
93,96.27,2149,7.8,Sedentary,8
65,100.0,321,4.6,Highly Active,5
51,100.0,4816,6.9,Highly Active,2
94,94.95,8740,5.0,Sedentary,4
76,98.61,394,9.0,Active,10
95,95.99,6581,8.0,Highly Active,6
83,97.15,10085,6.6,Highly Active,4
79,94.38,10614,4.9,Active,8
77,100.0,7405,7.2,Active,1
88,97.39,4498,7.2,Highly Active,7
72,97.41,3773,5.5,Active,7
89,97.73,1034,6.8,Active,4
79,98.23,5365,5.6,Active,3
76,98.84,516,8.3,Sedentary,2
70,96.13,4420,8.4,Sedentary,3
70,100.0,9189,6.3,Highly Active,1
79,96.69,4095,5.6,Highly Active,2
90,94.58,4969,7.7,Sedentary,5
82,95.25,12925,7.5,Highly Active,10
64,97.98,7281,4.8,Highly Active,10
51,99.85,956,6.1,Highly Active,6
86,99.6,5481,9.8,Sedentary,10
70,95.48,1622,6.9,Highly Active,2
68,100.0,7308,7.3,Sedentary,9
87,99.0,3420,5.7,Highly Active,7
62,97.36,10206,7.6,Highly Active,3
97,96.51,6182,7.1,Sedentary,7
81,96.15,771,8.2,Active,6
74,99.07,3019,4.0,Active,5
63,98.14,2201,7.0,Sedentary,10
88,94.37,1137,6.8,Highly Active,4
85,97.15,3330,6.1,Active,10
94,98.7,14960,6.6,Sedentary,2
121,96.42,2090,6.5,Sedentary,8
83,98.54,10947,5.8,Sedentary,5
77,96.73,4006,9.5,Highly Active,8
69,95.09,5808,7.0,Highly Active,4
88,98.7,16265,7.0,Active,6
69,97.85,4703,4.5,Active,7
63,97.63,2853,6.0,Highly Active,7
67,98.14,9098,5.7,Sedentary,4
72,99.1,1003,6.5,Highly Active,6
108,95.38,17151,6.0,Highly Active,5
79,96.35,17301,5.6,Active,7
65,100.0,6063,6.2,Active,8
77,100.0,4212,7.4,Active,9
94,99.59,3853,7.7,Sedentary,7
103,99.41,2480,7.2,Active,4
52,97.83,1347,7.8,Active,8
40,95.01,2143,7.7,Active,1
104,99.36,5676,4.6,Sedentary,1
64,97.84,8102,8.7,Active,6
49,94.61,27244,7.8,Sedentary,2
67,99.16,1701,3.6,Highly Active,4
60,100.0,1597,5.4,Sedentary,8
63,96.39,871,4.7,Highly Active,2
87,97.25,19577,7.2,Active,3
75,97.71,15415,9.1,Highly Active,8
71,99.61,2297,5.1,Sedentary,3
87,99.06,2274,9.2,Highly Active,9
67,97.59,3878,5.1,Sedentary,5
85,98.29,4842,8.0,Highly Active,4
51,98.71,9937,6.2,Highly Active,10
88,93.06,2181,5.1,Sedentary,4
94,96.65,2484,8.8,Highly Active,6
71,100.0,6390,5.9,Active,8
62,93.95,1383,6.3,Highly Active,9
58,98.79,4486,6.0,Sedentary,7
74,100.0,2023,8.1,Sedentary,1
93,100.0,1544,8.0,Sedentary,8
68,99.67,11116,5.4,Active,9
91,100.0,8596,6.7,Active,7
57,100.0,2012,7.1,Active,10
69,97.23,3755,8.0,Active,7
74,99.44,1173,5.6,Highly Active,5
78,95.23,382,8.6,Sedentary,9
70,99.95,6160,7.7,Highly Active,3
93,97.86,3163,5.1,Active,8
72,98.55,852,7.2,Highly Active,6
67,99.99,7977,5.4,Sedentary,10
65,98.29,2217,7.1,Highly Active,2
90,97.5,16655,6.5,Highly Active,7
65,98.62,1499,4.2,Sedentary,5
53,94.94,1956,1.7,Active,2
55,97.79,13361,9.6,Highly Active,1
85,97.11,5947,6.3,Active,6
54,95.24,803,6.7,Highly Active,1
69,96.6,5581,5.0,Highly Active,7
76,95.41,2578,5.6,Highly Active,1
49,94.92,9348,9.8,Active,5
77,96.85,567,10.1,Highly Active,1
70,99.01,17497,3.7,Active,6
46,95.01,4553,6.6,Active,8
77,97.91,9277,9.3,Active,3
80,98.4,8537,6.8,Sedentary,9
77,97.78,1374,7.5,Highly Active,4
82,99.68,14847,6.2,Active,8
78,100.0,1854,7.3,Highly Active,2
54,96.07,29190,4.7,Sedentary,2
57,97.07,2632,5.6,Active,5
62,99.04,23358,7.7,Highly Active,8
105,98.08,3998,6.4,Sedentary,3
62,98.1,12599,5.7,Highly Active,8
67,98.2,5285,4.9,Sedentary,1
71,98.15,1608,5.0,Active,5
69,98.53,14841,5.4,Active,1
102,99.88,523,7.2,Sedentary,4
49,98.7,8037,5.7,Sedentary,8
107,95.81,12435,6.8,Sedentary,8
77,99.85,12488,6.7,Sedentary,4
89,100.0,7456,7.7,Sedentary,1
75,97.71,2023,5.3,Sedentary,7
87,98.62,5310,8.9,Sedentary,7
60,97.07,6951,3.9,Sedentary,5
54,96.45,15432,6.0,Sedentary,8
113,96.69,1218,5.9,Sedentary,10
59,100.0,2836,3.2,Sedentary,9
85,97.85,3907,8.3,Sedentary,2
92,96.37,1415,7.7,Sedentary,7
84,97.52,1716,7.2,Active,10
71,99.33,10283,5.4,Active,2
